"WOS:000303600700012","2012","Weill Cornell Medical College","WEILL","Others","OTHERS","Scherr, Douglas S.",,22540300,"Multiphoton Microscopy in the Evaluation of Human Bladder Biopsies"
"WOS:000303600700012","2012","Weill Cornell Medical College","WEILL","Others","OTHERS","Jain, Manu",,22540300,"Multiphoton Microscopy in the Evaluation of Human Bladder Biopsies"
"WOS:000303600700012","2012","Weill Cornell Medical College","WEILL","Others","OTHERS","Robinson, Brian D.",,22540300,"Multiphoton Microscopy in the Evaluation of Human Bladder Biopsies"
"WOS:000303600700012","2012","Weill Cornell Medical College","WEILL","Others","OTHERS","Sterling, Joshua",,22540300,"Multiphoton Microscopy in the Evaluation of Human Bladder Biopsies"
"WOS:000303600700012","2012","Weill Cornell Medical College","WEILL","Others","OTHERS","Rubin, Mark A.",,22540300,"Multiphoton Microscopy in the Evaluation of Human Bladder Biopsies"
"WOS:000303600700012","2012","Weill Cornell Medical College","WEILL","Others","OTHERS","Mukherjee, Sushmita",,22540300,"Multiphoton Microscopy in the Evaluation of Human Bladder Biopsies"
"WOS:000303600700012","2012","Weill Cornell Medical College","WEILL","Others","OTHERS","Maxfield, Frederick R.",,22540300,"Multiphoton Microscopy in the Evaluation of Human Bladder Biopsies"
"WOS:000303600700012","2012","Weill Cornell Medical College","WEILL","Others","OTHERS","Wysock, James",,22540300,"Multiphoton Microscopy in the Evaluation of Human Bladder Biopsies"
"WOS:000303600700012","2012","COLLEGE OF ENGINEERING","EN","Biomedical Engineering","BME","Zipfel, Warren R.",wrz2,22540300,"Multiphoton Microscopy in the Evaluation of Human Bladder Biopsies"
"WOS:000303600700012","2012","COLLEGE OF ENGINEERING","EN","Applied and Engineering Physics","AEP","Webb, Watt W.",,22540300,"Multiphoton Microscopy in the Evaluation of Human Bladder Biopsies"
"WOS:000315637900064","2013","COLLEGE OF ENGINEERING","EN","Civil and Environmental Engineering","CEE","Ingraffea, Anthony R.",ari1,23472121,"Nanoscale Examination of Microdamage in Sheep Cortical Bone Using Synchrotron Radiation Transmission X-Ray Microscopy"
"WOS:000315637900064","2013","COLLEGE OF ENGINEERING","EN","Mechanical and Aerospace Engineering","MAE","Kim, Grace",,23472121,"Nanoscale Examination of Microdamage in Sheep Cortical Bone Using Synchrotron Radiation Transmission X-Ray Microscopy"
"WOS:000315637900064","2013","COLLEGE OF ENGINEERING","EN","Mechanical and Aerospace Engineering","MAE","Brock, Garry R.",,23472121,"Nanoscale Examination of Microdamage in Sheep Cortical Bone Using Synchrotron Radiation Transmission X-Ray Microscopy"
"WOS:000315637900064","2013","COLLEGE OF ENGINEERING","EN","Mechanical and Aerospace Engineering","MAE","van der Meulen, Marjolein C. H.",mcv3,23472121,"Nanoscale Examination of Microdamage in Sheep Cortical Bone Using Synchrotron Radiation Transmission X-Ray Microscopy"
"WOS:000321093600004","2013","COLLEGE OF ENGINEERING","EN","Materials Science and Engineering","MSE","Moreau, Liane M.",,,"Defining Crystalline/Amorphous Phases of Nanoparticles through X-ray Absorption Spectroscopy and X-ray Diffraction: The Case of Nickel Phosphide"
"WOS:000321093600004","2013","COLLEGE OF ENGINEERING","EN","Materials Science and Engineering","MSE","Zhang, Haitao",,,"Defining Crystalline/Amorphous Phases of Nanoparticles through X-ray Absorption Spectroscopy and X-ray Diffraction: The Case of Nickel Phosphide"
"WOS:000321093600004","2013","COLLEGE OF ENGINEERING","EN","Materials Science and Engineering","MSE","Ha, Don-Hyung",,,"Defining Crystalline/Amorphous Phases of Nanoparticles through X-ray Absorption Spectroscopy and X-ray Diffraction: The Case of Nickel Phosphide"
"WOS:000321093600004","2013","COLLEGE OF ENGINEERING","EN","Materials Science and Engineering","MSE","Robinson, Richard D.",rdr82,,"Defining Crystalline/Amorphous Phases of Nanoparticles through X-ray Absorption Spectroscopy and X-ray Diffraction: The Case of Nickel Phosphide"
