"http://scholars.cornell.edu/individual/UR-313874","Computational discovery of metastable single-layer III-V materials","0","null","null"
"http://scholars.cornell.edu/individual/UR-313873","Accuracy of exchange-correlation functionals and effect of solvation on the surface energy of copper","4","[copper]","[Accuracy, surface energy, copper, energy]"
"http://scholars.cornell.edu/individual/UR-313872","Applying for computational time on NSF’s TeraGrid—the world’s largest cyberinfrastructure supporting open research","3","[research]","[cyberinfrastructure, time]"
"http://scholars.cornell.edu/individual/UR-413240","Theoretical investigation of charge transfer processes at a planar Pentacene-C60 interface","2","null","[interface, charge transfer]"
"http://scholars.cornell.edu/individual/UR-313878","Coupled Quantum-Continuum Analysis of Crack Tip Processes in Aluminum","2","null","[Analysis, Crack]"
"http://scholars.cornell.edu/individual/UR-313877","Ab-initio Based Empirical Potential Predicts Mechanical Properties of Molybdenum","3","[Molybdenum]","[Empirical, Mechanical Properties]"
"http://scholars.cornell.edu/individual/UR-313876","Energy landscape of silicon tetra-interstitials using an optimized classical potential","2","null","[Energy, Energy landscape]"
"http://scholars.cornell.edu/individual/UR-16363","Core-shell silica nanoparticles as fluorescent labels for nanomedicine","17","[cells, capillaries, bone marrow]","[toxicity, visualization, development, silica, bone, quantum, imaging, tracking, cells, cell labeling, real-time, field, metastasis, cancer, applications]"
"http://scholars.cornell.edu/individual/UR-149377","Epitaxial Growth of VO$_{2}$ by Periodic Annealing","16","[titanium, vanadium, microscopy]","[Annealing, amorphous, 25, Growth, titanium, oxidation, deposition, interface, field, spectroscopy, electron microscopy, growth, microscopy, annular, Epitaxial Growth]"
"http://scholars.cornell.edu/individual/UR-313875","From compact point defects to extended structures in silicon","4","[silicon]","[point defects, silicon, compact, defects]"
"http://scholars.cornell.edu/individual/UR-149378","Grains and grain boundaries in highly crystalline monolayer molybdenum disulfide","20","[molybdenum]","[synthesis, functional, crystals, microstructure, photoluminescence, grain boundaries, morphology, shape, electrical properties, island, deposition, crystalline, crystallinity, monolayer, transmission, molybdenum disulfide, grain, theory, applications]"
"http://scholars.cornell.edu/individual/UR-16364","Toxicity and Biomedical Imaging of Layered Nanohybrids in the Mouse","15","[injections, DNA, microscopy, aluminum]","[magnetic resonance, nanoscale, test, aluminum, resonance, imaging, controlled, Imaging, DNA, Biomedical Imaging, biomedical imaging, in vivo, microscopy, particles]"
"http://scholars.cornell.edu/individual/UR-136062","A Cosmic Battery Reconsidered","11","[radiation]","[generation, accretion, magnetic field, magnetic fields, field, radiation, model, force, growth, time, holes]"
"http://scholars.cornell.edu/individual/UR-136061","Spherical Bondi Accretion onto a Magnetic Dipole, Toropin","7","[methods, rotation]","[accretion, Accretion, field, rotation, flow, momentum]"
"http://scholars.cornell.edu/individual/UR-264383","HYDRODYNAMIC, TRANSLATIONAL DIFFUSION IN FIBER SUSPENSIONS SUBJECT TO SIMPLE SHEAR-FLOW","4","[SUSPENSIONS, DIFFUSION]","[FIBER SUSPENSIONS, FIBER, SUSPENSIONS, DIFFUSION]"
"http://scholars.cornell.edu/individual/UR-452854","Toeholds and Takeovers","4","null","[impact, empirical, options, analysis]"
"http://scholars.cornell.edu/individual/UR-149376","Quantum many-body interactions in digital oxide superlattices","16","[oxides, engineering, semiconductors]","[angle-resolved photoemission, interfaces, oxides, metal, photoemission, quantum, engineering, semiconductors, complex oxides, Quantum, magnetic properties, ferromagnetic, spectroscopy, superlattices, electronic structure, epitaxy]"
"http://scholars.cornell.edu/individual/UR-149373","Channeling of a sub-angstrom electron beam in a crystal mapped to two-dimensional molecular orbitals","14","[electrons]","[crystals, test, crystal, evolution, resolution, imaging, transmission, field, scattering, electron microscope, Si, should, time]"
"http://scholars.cornell.edu/individual/UR-149374","Mapping local optical densities of states in silicon photonic structures with nanoscale electron spectroscopy","13","[silicon, light, radiation, electrons]","[treatment, coupling, nanoscale, silicon, near-infrared, dielectric function, spectroscopy, radiation, function, optical modes, Mapping]"
"http://scholars.cornell.edu/individual/UR-149372","Determining On-Axis Crystal Thickness with Quantitative Position-Averaged Incoherent Bright-Field Signal in an Aberration-Corrected STEM","9","null","[crystals, amorphous, precision, crystalline, scale, Aberration-Corrected STEM, energy, essential, Crystal]"
"http://scholars.cornell.edu/individual/UR-276350","Global Structure of Families of Multivariable Linear-Systems with an Application to Identification","1","null","[Identification]"
"http://scholars.cornell.edu/individual/UR-413254","The role of shape on electronic structure and charge transport in faceted PbX Nanocrystals using Density Functional Theory","6","null","[Functional, Nanocrystals, shape, Theory, electronic structure, transport]"
"http://scholars.cornell.edu/individual/UR-440850","A model for complex flows of soft glassy materials with application to flows through fixed fiber beds","2","null","[fiber, model]"
"http://scholars.cornell.edu/individual/UR-264370","End-Linked Poly(dimethylsiloxane) Elastomer Structure:  2 H-NMR Transverse Dephasing Data Compared to Predictions of Statistical and Thermodynamic Models","3","null","[Elastomer, Data, Models]"
"http://scholars.cornell.edu/individual/UR-15041","Creating Biological Membranes on the Micron Scale: Forming Patterned Lipid Bilayers Using a Polymer Lift-Off Technique","21","[diffusion, Membranes, fluorescence, photobleaching, Fluorescence, antibodies, printing]","[polymer, diffusion, Membranes, biomaterial, values, Fluorescence, capture, Polymer, analysis, resolution, surfaces, fluorescence, photobleaching, polymer lift-off, lipid bilayer, fluid, Polymer Lift-Off, measurements, diffusion coefficient]"
"http://scholars.cornell.edu/individual/UR-264371","Polymeric nanoparticles for soil remediation of hydrophobic contaminants","3","[nanoparticles, soil]","[nanoparticles, hydrophobic, soil]"
"http://scholars.cornell.edu/individual/UR-362821","Analyzing the orientation dependence of stresses in polycrystals using vertices of the single crystal yield surface and crystallographic fibers of orientation space","5","null","[orientation, fibers, crystal, yield, crystallographic fibers]"
